Generation,Run_1,Run_2,Run_3,Run_4,Run_5
0,145231.86308495692,302071.97175074375,54054.34256685997,212129.9057485134,38280.06377183514
1,145231.86308495692,302071.97175074375,54054.34256685997,212129.9057485134,38280.06377183514
2,145231.86308495692,184093.92674737467,54054.34256685997,54013.606251073455,38280.06377183514
3,145231.86308495692,184093.92674737467,54054.34256685997,54013.606251073455,38280.06377183514
4,88246.75391126469,184093.92674737467,54054.34256685997,54013.606251073455,38280.06377183514
5,88246.75391126469,184093.92674737467,54054.34256685997,54013.606251073455,38280.06377183514
6,88246.75391126469,143286.05890410996,54054.34256685997,54013.606251073455,38280.06377183514
7,74164.09626095337,143286.05890410996,54054.34256685997,54013.606251073455,38280.06377183514
8,74164.09626095337,143286.05890410996,54054.34256685997,54013.606251073455,38280.06377183514
9,29888.225770555062,143286.05890410996,54054.34256685997,54013.606251073455,38280.06377183514
10,29888.225770555062,140734.90796302864,54054.34256685997,54013.606251073455,38280.06377183514
11,29888.225770555062,26272.780132053806,54054.34256685997,54013.606251073455,38280.06377183514
12,29888.225770555062,26272.780132053806,54054.34256685997,54013.606251073455,38280.06377183514
13,24372.585944738265,26272.780132053806,54054.34256685997,38069.15267939366,38280.06377183514
14,24372.585944738265,26272.780132053806,54054.34256685997,20542.500311846183,38280.06377183514
15,24372.585944738265,26272.780132053806,54054.34256685997,20542.500311846183,38280.06377183514
16,24372.585944738265,26272.780132053806,54054.34256685997,20542.500311846183,27862.67399285469
17,24372.585944738265,26272.780132053806,54054.34256685997,20542.500311846183,27862.67399285469
18,24372.585944738265,26272.780132053806,54054.34256685997,20542.500311846183,27862.67399285469
19,24372.585944738265,26272.780132053806,54054.34256685997,18691.40653423183,27862.67399285469
20,9326.38608054703,26272.780132053806,54054.34256685997,18691.40653423183,18623.01487158883
21,9326.38608054703,26272.780132053806,54054.34256685997,18691.40653423183,18623.01487158883
22,3339.994276278702,26272.780132053806,54054.34256685997,18691.40653423183,12966.865221234926
23,3339.994276278702,26272.780132053806,54054.34256685997,18691.40653423183,12966.865221234926
24,3339.994276278702,26272.780132053806,54054.34256685997,18691.40653423183,12966.865221234926
25,3339.994276278702,19496.70159411089,38367.389089203614,6761.704019338024,12966.865221234926
26,3339.994276278702,19496.70159411089,38367.389089203614,6761.704019338024,9823.221753965194
27,3339.994276278702,19496.70159411089,11573.78027293808,6761.704019338024,9823.221753965194
28,3339.994276278702,19496.70159411089,11573.78027293808,6761.704019338024,9823.221753965194
29,3339.994276278702,19496.70159411089,11573.78027293808,6761.704019338024,9823.221753965194
30,3339.994276278702,19496.70159411089,11573.78027293808,6761.704019338024,9823.221753965194
31,3339.994276278702,19496.70159411089,11573.78027293808,6761.704019338024,9823.221753965194
32,3339.994276278702,19496.70159411089,11573.78027293808,6761.704019338024,9823.221753965194
33,3339.994276278702,19496.70159411089,11573.78027293808,6761.704019338024,9823.221753965194
34,3339.994276278702,19496.70159411089,11573.78027293808,6761.704019338024,9823.221753965194
35,3339.994276278702,7897.2734777946935,11573.78027293808,6761.704019338024,9823.221753965194
36,3339.994276278702,7897.2734777946935,11573.78027293808,4041.366068128348,9823.221753965194
37,3339.994276278702,5068.978670340544,11573.78027293808,4041.366068128348,9823.221753965194
38,3339.994276278702,5068.978670340544,9677.122592017447,4041.366068128348,9823.221753965194
39,3339.994276278702,5068.978670340544,9677.122592017447,4041.366068128348,9823.221753965194
40,3339.994276278702,5068.978670340544,7169.446680984854,4041.366068128348,9823.221753965194
41,3339.994276278702,5068.978670340544,7169.446680984854,4041.366068128348,9823.221753965194
42,3339.994276278702,5068.978670340544,7169.446680984854,4041.366068128348,9823.221753965194
43,3339.994276278702,5068.978670340544,7169.446680984854,4041.366068128348,9823.221753965194
44,3339.994276278702,4307.159728111084,7169.446680984854,4041.366068128348,9823.221753965194
45,3339.994276278702,2986.2959592961934,7169.446680984854,4041.366068128348,8612.696686066265
46,3339.994276278702,2986.2959592961934,2894.481868470966,4041.366068128348,8612.696686066265
47,3339.994276278702,2986.2959592961934,2894.481868470966,4041.366068128348,6609.992762210557
48,3339.994276278702,2986.2959592961934,2894.481868470966,4041.366068128348,6609.992762210557
49,3339.994276278702,2986.2959592961934,2894.481868470966,4041.366068128348,4700.788492857293
50,3339.994276278702,2986.2959592961934,2894.481868470966,4041.366068128348,4700.788492857293
