Generation,Run_1,Run_2,Run_3,Run_4,Run_5
0,17403.36468312732,18743.093807252593,16221.999311818747,15133.86833787703,11983.819213567635
1,17403.36468312732,18743.093807252593,16221.999311818747,15133.86833787703,11983.819213567635
2,17403.36468312732,18743.093807252593,16221.999311818747,7372.827715437004,11983.819213567635
3,17403.36468312732,16805.549849446244,16221.999311818747,7372.827715437004,11983.819213567635
4,16892.79365157364,16805.549849446244,16221.999311818747,7372.827715437004,11983.819213567635
5,16892.79365157364,16805.549849446244,16221.999311818747,7372.827715437004,11983.819213567635
6,16892.79365157364,16805.549849446244,15965.769812878061,7372.827715437004,10079.70922010155
7,13338.819654762725,16279.850394772517,10293.263396332823,7372.827715437004,10079.70922010155
8,13338.819654762725,16279.850394772517,10293.263396332823,7372.827715437004,10079.70922010155
9,13338.819654762725,16238.284414980639,10293.263396332823,7372.827715437004,8530.132067211815
10,13338.819654762725,16238.284414980639,10293.263396332823,7372.827715437004,8530.132067211815
11,13338.819654762725,16238.284414980639,10293.263396332823,7372.827715437004,8530.132067211815
12,13338.819654762725,6245.454326454277,8672.223291458859,7372.827715437004,8530.132067211815
13,13338.819654762725,6245.454326454277,8672.223291458859,7372.827715437004,8530.132067211815
14,13338.819654762725,6245.454326454277,6156.520812317548,7372.827715437004,8530.132067211815
15,10315.06191274699,6245.454326454277,6156.520812317548,7372.827715437004,8530.132067211815
16,10315.06191274699,6245.454326454277,6156.520812317548,7372.827715437004,8530.132067211815
17,10315.06191274699,6245.454326454277,6156.520812317548,7372.827715437004,6301.275646052474
18,10315.06191274699,6245.454326454277,6156.520812317548,7372.827715437004,6301.275646052474
19,10315.06191274699,6245.454326454277,6156.520812317548,7372.827715437004,6301.275646052474
20,6259.295495593972,6245.454326454277,6156.520812317548,7372.827715437004,6301.275646052474
21,6259.295495593972,6245.454326454277,6156.520812317548,7372.827715437004,6301.275646052474
22,6259.295495593972,6245.454326454277,6156.520812317548,7372.827715437004,6301.275646052474
23,6259.295495593972,6245.454326454277,6156.520812317548,7372.827715437004,6301.275646052474
24,6259.295495593972,6245.454326454277,6156.520812317548,7372.827715437004,6301.275646052474
25,6259.295495593972,6245.454326454277,6156.520812317548,7372.827715437004,2495.669230037975
26,5624.242473118937,6245.454326454277,6156.520812317548,5899.121012858922,2495.669230037975
27,5624.242473118937,6245.454326454277,6156.520812317548,5899.121012858922,2495.669230037975
28,5624.242473118937,6245.454326454277,3882.0871277858664,5899.121012858922,2495.669230037975
29,5445.365475477193,6245.454326454277,3882.0871277858664,5899.121012858922,2495.669230037975
30,4630.610528144372,6245.454326454277,3882.0871277858664,4733.59737401029,2495.669230037975
31,4630.610528144372,4527.820445359255,3882.0871277858664,4733.59737401029,2495.669230037975
32,4630.610528144372,4527.820445359255,3882.0871277858664,4733.59737401029,2495.669230037975
33,4630.610528144372,4527.820445359255,3882.0871277858664,4733.59737401029,2495.669230037975
34,4630.610528144372,4527.820445359255,3882.0871277858664,4733.59737401029,2495.669230037975
35,4630.610528144372,4527.820445359255,3882.0871277858664,4733.59737401029,2495.669230037975
36,4630.610528144372,4527.820445359255,3882.0871277858664,4562.265208964872,2495.669230037975
37,4630.610528144372,4527.820445359255,3882.0871277858664,4562.265208964872,2495.669230037975
38,4630.610528144372,4527.820445359255,3882.0871277858664,4562.265208964872,2495.669230037975
39,4630.610528144372,4527.820445359255,3882.0871277858664,4393.034359843273,2495.669230037975
40,4630.610528144372,4527.820445359255,3882.0871277858664,4393.034359843273,2495.669230037975
41,4528.972728929282,4527.820445359255,3882.0871277858664,4393.034359843273,2495.669230037975
42,4528.972728929282,4481.581927812663,3882.0871277858664,4393.034359843273,2495.669230037975
43,4528.972728929282,2596.823269228072,3882.0871277858664,4393.034359843273,2495.669230037975
44,3691.061496097162,2596.823269228072,3882.0871277858664,4322.669909226655,2495.669230037975
45,2994.7216756147895,2596.823269228072,3882.0871277858664,4322.669909226655,2495.669230037975
46,2994.7216756147895,2596.823269228072,3236.901260546364,4322.669909226655,1989.7520741728451
47,2938.503652511775,2596.823269228072,3236.901260546364,4307.521075796689,1989.7520741728451
48,2938.503652511775,2596.823269228072,3236.901260546364,4307.521075796689,1989.7520741728451
49,2938.503652511775,2596.823269228072,3236.901260546364,4224.791881926999,1989.7520741728451
50,2938.503652511775,2596.823269228072,3236.901260546364,4224.791881926999,1989.7520741728451
