Run,DErand1bin,DEbest1bin,DEcurrentToBest1bin,DErand2bin
1,896.3345958413876,2.4681744893634737e-11,2.7437216080327647e-13,57648.70433812131
2,1795.3564074391595,5.415504937548674e-12,2.212253687095372e-13,55081.90266023294
3,542.7026335584582,3.0016626132059825e-11,1.2432604550892076e-13,49409.82771589872
4,1319.1271787222756,9.914675488854792e-11,1.322869544198186e-12,58766.4312952224
5,458.6045852398289,1.2960131352526899e-11,1.6209394146186169e-13,55432.41808842867
6,940.4596351763959,8.616083331426932e-12,2.6172789510561587e-12,53053.24690079638
7,775.6674379280678,1.6111497578468535e-11,6.245777354943998e-14,59819.84542510521
8,360.57150318757203,3.3461429246483664e-12,1.2431648918427817e-13,53348.78704783589
9,492.4565794923533,4.761061618295105e-11,6.026873937526402e-14,54366.06152648757
10,352.80124694519185,4.646817677980383e-11,3.5358246988829635e-14,50243.77590619834
